citation,cruise_name,broad_ocean,ocean_region,Lat_dd_N,Lon_dd_W,depth_m,link_to_citation,key_words,,other_notes
Saunders et al. 2022,ProteOMZ,Pacific,Central Pacific,4,-140,,https://www.pnas.org/doi/10.1073/pnas.2200014119,,,
Saunders et al. 2022,ProteOMZ,Pacific,Central Pacific,0,-139.8,,https://www.pnas.org/doi/10.1073/pnas.2200014119,,,
Saunders et al. 2022,ProteOMZ,Pacific,Central Pacific,-4.23,-142.228,,https://www.pnas.org/doi/10.1073/pnas.2200014119,,,
Saunders et al. 2022,ProteOMZ,Pacific,Central Pacific,-10.56,-146.313,,https://www.pnas.org/doi/10.1073/pnas.2200014119,,,
Saito et al. 2014,MetZyme,Pacific,Central Pacific,17,-154.4,,https://www.science.org/doi/10.1126/science.1256450,205.6,,
Saito et al. 2014,MetZyme,Pacific,Central Pacific,12,-155.45,,https://www.science.org/doi/10.1126/science.1256450,204.55,,
Saito et al. 2014,MetZyme,Pacific,Central Pacific,8,-156,,https://www.science.org/doi/10.1126/science.1256450,204,,
Saito et al. 2014,MetZyme,Pacific,Central Pacific,4,-157.08,,https://www.science.org/doi/10.1126/science.1256450,202.92,,
Saito et al. 2014,MetZyme,Pacific,Central Pacific,0,-157.99,,https://www.science.org/doi/10.1126/science.1256450,202.01,,
Saito et al. 2014,MetZyme,Pacific,Central Pacific,-1.5,-159.19,,https://www.science.org/doi/10.1126/science.1256450,200.81,,
Saito et al. 2014,MetZyme,Pacific,Central Pacific,0.36,-157.87,,https://www.science.org/doi/10.1126/science.1256450,202.13,,
Saito et al. 2014,MetZyme,Pacific,Central Pacific,-3.5,-160.77,,https://www.science.org/doi/10.1126/science.1256450,199.23,,
Saito et al. 2014,MetZyme,Pacific,Central Pacific,-5.96,-162.61,,https://www.science.org/doi/10.1126/science.1256450,197.39,,
Saito et al. 2014,MetZyme,Pacific,Central Pacific,-9.25,-165.36,,https://www.science.org/doi/10.1126/science.1256450,194.64,,
Saito et al. 2014,MetZyme,Pacific,Central Pacific,-12,-167.56,,https://www.science.org/doi/10.1126/science.1256450,192.44,,
Saito et al. 2014,MetZyme,Pacific,Central Pacific,-15,-170,,https://www.science.org/doi/10.1126/science.1256450,190,,
Saito et al. 2014,MetZyme,Pacific,Central Pacific,-15,-171.5,,https://www.science.org/doi/10.1126/science.1256450,188.5,,
Saito et al. 2014,MetZyme,Pacific,Central Pacific,-15,-173.1,,https://www.science.org/doi/10.1126/science.1256450,186.9,,
Saito et al. 2014,MetZyme,Pacific,Central Pacific,-15,-174.5,,https://www.science.org/doi/10.1126/science.1256450,185.5,,
Wu et al. 2019; McCain et al. 2022,,Southern Ocean,Ross Sea,-77.62,165.41,,https://www.nature.com/articles/s41467-019-11426-z; https://www.nature.com/articles/s41396-021-01084-9,,,"targetted metaP,  proteomic traits, surface"
Jabre et al. 2025,,Southern Ocean,Weddell Sea,-65,-0.011,,https://www.biorxiv.org/content/10.1101/2025.10.03.680396v1.full.pdf,,,untargetted metaP
Jabre et al. 2025,,Southern Ocean,Weddell Sea,-70.25,-11.044,,https://www.biorxiv.org/content/10.1101/2025.10.03.680396v1.full.pdf,,,untargetted metaP
Mikan et al. 2020,,Arctic,"Chuckchi Sea, Arctic",72.793733,-168.898167,,https://pubs.acs.org/doi/10.1021/acs.jproteome.6b00239; ,,,"55.5 m, they reported the station locations wrong, but they have a station map "
Mikan et al. 2020,,Arctic,Bering Strait,65.72889,-168.96167,,https://pubs.acs.org/doi/10.1021/acs.jproteome.6b00239; ,,,"7m depth, chla maximum "
Lampe et al. 2023,California Current Ecosystem Long-Term Ecological Research Process Cruise,Pacific,California Current System,36.1233,-122.04125,Chla_max,https://www.nature.com/articles/s41467-023-42949-1,acidification;shipboard incubations;trace metals;metaT;metaP,,shipboard incubations x4. Water collected at chla maximum
Lampe et al. 2023,California Current Ecosystem Long-Term Ecological Research Process Cruise,Pacific,California Current System,36.12222,-122.67402,Chla_max,https://www.nature.com/articles/s41467-023-42949-1,acidification;shipboard incubations;trace metals;metaT;metaP,,shipboard incubations x4. Water collected at chla maximum
Lampe et al. 2023,California Current Ecosystem Long-Term Ecological Research Process Cruise,Pacific,California Current System,35.58038,-122.65918,Chla_max,https://www.nature.com/articles/s41467-023-42949-1,acidification;shipboard incubations;trace metals;metaT;metaP,,shipboard incubations x4. Water collected at chla maximum
Lampe et al. 2023,California Current Ecosystem Long-Term Ecological Research Process Cruise,Pacific,California Current System,34.89697,-124.78175,Chla_max,https://www.nature.com/articles/s41467-023-42949-1,acidification;shipboard incubations;trace metals;metaT;metaP,,shipboard incubations x4. Water collected at chla maximum
